fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,log_loss,mae_bp,inner_n
31,decision_close_2025_7,proxy_market_lsa|lambda=1|scaling=column_standardized,proxy_market_lsa,1.0,column_standardized,0.48192816778548947,0.5912625181783073,0.9787546861245708,120.9555597478342,75
31,decision_close_2025_7,proxy_market_lsa|lambda=10|scaling=column_standardized,proxy_market_lsa,10.0,column_standardized,0.224188790560472,0.6796094391803622,1.130296511101614,130.19952594637348,75
31,decision_close_2025_7,history_transformer|lambda=0.001|scaling=fixed,history_transformer,0.001,fixed,0.5995169082125603,0.6668179588909207,2.316571438514732,133.09644247196186,75
31,decision_close_2025_7,history_transformer|lambda=0.01|scaling=fixed,history_transformer,0.01,fixed,0.5995169082125603,0.6430566721350125,1.766650394822475,130.35943788073442,75
31,decision_close_2025_7,history_transformer|lambda=0.1|scaling=fixed,history_transformer,0.1,fixed,0.5957748213845776,0.6075387473273159,1.3072811571978282,123.81112796869097,75
31,decision_close_2025_7,history_transformer|lambda=1|scaling=fixed,history_transformer,1.0,fixed,0.5818545499828773,0.5768853747230621,1.0437667204481333,127.94126818948665,75
31,decision_close_2025_7,history_transformer|lambda=10|scaling=fixed,history_transformer,10.0,fixed,0.46308243727598564,0.6078641215735341,1.030657487034759,141.244067423432,75
32,decision_close_2025_8,history|lambda=0.001|scaling=fixed,history,0.001,fixed,0.6201699535032869,0.5766943288783545,1.3632405473725622,137.0380307609402,76
32,decision_close_2025_8,history|lambda=0.01|scaling=fixed,history,0.01,fixed,0.5972074938140687,0.5415514300173662,1.0205687932206151,127.90437343504604,76
32,decision_close_2025_8,history|lambda=0.1|scaling=fixed,history,0.1,fixed,0.543067994680898,0.5444175071444483,0.9235427707886142,116.8531429326906,76
32,decision_close_2025_8,history|lambda=1|scaling=fixed,history,1.0,fixed,0.2686332350049164,0.6470871874892438,1.0505579261081452,113.03791314894765,76
32,decision_close_2025_8,history|lambda=10|scaling=fixed,history,10.0,fixed,0.2222222222222222,0.706608951449933,1.1761827005777188,127.0317135616371,76
32,decision_close_2025_8,history_tfidf|lambda=0.001|scaling=row_only,history_tfidf,0.001,row_only,0.6308118795735747,0.5625300385725617,1.3585823374861228,126.29479277648726,76
32,decision_close_2025_8,history_tfidf|lambda=0.01|scaling=row_only,history_tfidf,0.01,row_only,0.6151495016611296,0.5192544003178289,0.9755757985632474,121.77274962336847,76
32,decision_close_2025_8,history_tfidf|lambda=0.1|scaling=row_only,history_tfidf,0.1,row_only,0.5569757727652465,0.5339404103606092,0.9049957781707466,115.58674816928287,76
32,decision_close_2025_8,history_tfidf|lambda=1|scaling=row_only,history_tfidf,1.0,row_only,0.2686332350049164,0.6428785476402803,1.0441993984833449,113.15198534846394,76
32,decision_close_2025_8,history_tfidf|lambda=10|scaling=row_only,history_tfidf,10.0,row_only,0.2222222222222222,0.7060355206676049,1.17507386037951,127.02795004599854,76
32,decision_close_2025_8,history_tfidf|lambda=0.001|scaling=column_standardized,history_tfidf,0.001,column_standardized,0.6121723256663015,0.6523362120884836,2.068680397441935,100.98970788282321,76
32,decision_close_2025_8,history_tfidf|lambda=0.01|scaling=column_standardized,history_tfidf,0.01,column_standardized,0.6121723256663015,0.6246554724940993,1.6555537267605842,101.01193380283003,76
32,decision_close_2025_8,history_tfidf|lambda=0.1|scaling=column_standardized,history_tfidf,0.1,column_standardized,0.6240981240981242,0.5832640326629809,1.279349247830584,101.20626073045932,76
32,decision_close_2025_8,history_tfidf|lambda=1|scaling=column_standardized,history_tfidf,1.0,column_standardized,0.6240981240981242,0.5300772609439657,0.9867091659343965,102.12023935957512,76
32,decision_close_2025_8,history_tfidf|lambda=10|scaling=column_standardized,history_tfidf,10.0,column_standardized,0.5543080108297499,0.5259527378089603,0.9051420760128377,108.77239169142828,76
32,decision_close_2025_8,history_lsa|lambda=0.001|scaling=row_only,history_lsa,0.001,row_only,0.5740475527442945,0.6161958258452108,1.5571522575985155,146.5916585724331,76
32,decision_close_2025_8,history_lsa|lambda=0.01|scaling=row_only,history_lsa,0.01,row_only,0.6168912388424584,0.5450276230554204,0.9888174924389611,130.59449400005417,76
32,decision_close_2025_8,history_lsa|lambda=0.1|scaling=row_only,history_lsa,0.1,row_only,0.5402777777777777,0.5356556403929335,0.9054874352505698,117.19684537260422,76
32,decision_close_2025_8,history_lsa|lambda=1|scaling=row_only,history_lsa,1.0,row_only,0.2686332350049164,0.6423450963708478,1.0433196239512033,113.59746497584914,76
32,decision_close_2025_8,history_lsa|lambda=10|scaling=row_only,history_lsa,10.0,row_only,0.2222222222222222,0.7059085646687733,1.1748272618677948,127.1218455611461,76
